# Tier1_sims (Up to date)
# 1243 data points written for 11 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (32.3 m/s):  "Pilot Parachute"
#
# Time (s),Angle of attack (°),CP location (in),CG location (in),Stability margin calibers (​),Drag coefficient (​),Normal force coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
58.729,NaN,0,86.113,-14.071,64.206,NaN,984.278,0.001,339.416,0.074
58.813,NaN,0,86.113,-14.071,64.206,NaN,984.521,0.001,339.424,0.071
58.91,NaN,0,86.113,-14.071,64.206,NaN,984.792,0.001,339.433,0.068
59.026,NaN,0,86.113,-14.071,64.206,NaN,985.101,0.001,339.443,0.066
59.167,NaN,0,86.113,-14.071,64.206,NaN,985.46,0.001,339.456,0.063
59.345,NaN,0,86.113,-14.071,64.206,NaN,985.893,0.001,339.47,0.06
59.582,NaN,0,86.113,-14.071,64.206,NaN,986.444,0.001,339.489,0.057
59.931,NaN,0,86.113,-14.071,64.206,NaN,987.211,0.001,339.514,0.054
60.431,NaN,0,86.113,-14.071,64.206,NaN,988.258,0.001,339.55,0.051
60.909,NaN,0,86.113,-14.071,64.206,NaN,989.228,0.001,339.582,0.051
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=60.91 seconds
60.91,NaN,0,86.113,-14.071,755.714,NaN,989.23,0.001,339.582,0.051
60.919,NaN,0,86.113,-14.071,755.714,NaN,989.248,0.001,339.583,0.048
60.93,NaN,0,86.113,-14.071,755.714,NaN,989.267,0.001,339.583,0.045
60.942,NaN,0,86.113,-14.071,755.714,NaN,989.288,0.001,339.584,0.042
60.956,NaN,0,86.113,-14.071,755.714,NaN,989.311,0.001,339.585,0.039
60.973,NaN,0,86.113,-14.071,755.714,NaN,989.335,0.001,339.586,0.036
60.993,NaN,0,86.113,-14.071,755.714,NaN,989.363,0.001,339.587,0.033
61.018,NaN,0,86.113,-14.071,755.714,NaN,989.394,0.001,339.588,0.03
61.049,NaN,0,86.113,-14.071,755.714,NaN,989.429,0.001,339.589,0.027
61.091,NaN,0,86.113,-14.071,755.714,NaN,989.472,0.001,339.59,0.024
61.15,NaN,0,86.113,-14.071,755.714,NaN,989.525,0.001,339.592,0.021
61.242,NaN,0,86.113,-14.071,755.714,NaN,989.597,0.001,339.594,0.018
61.425,NaN,0,86.113,-14.071,755.714,NaN,989.718,0.001,339.599,0.015
61.665,NaN,0,86.113,-14.071,755.714,NaN,989.86,0.001,339.603,0.015
61.917,NaN,0,86.113,-14.071,755.714,NaN,990.006,0.001,339.608,0.015
62.168,NaN,0,86.113,-14.071,755.714,NaN,990.151,0.001,339.613,0.015
62.42,NaN,0,86.113,-14.071,755.714,NaN,990.296,0.001,339.618,0.015
62.672,NaN,0,86.113,-14.071,755.714,NaN,990.442,0.001,339.623,0.015
62.923,NaN,0,86.113,-14.071,755.714,NaN,990.587,0.001,339.628,0.015
63.175,NaN,0,86.113,-14.071,755.714,NaN,990.733,0.001,339.633,0.015
63.426,NaN,0,86.113,-14.071,755.714,NaN,990.878,0.001,339.638,0.015
63.678,NaN,0,86.113,-14.071,755.714,NaN,991.023,0.001,339.642,0.015
63.93,NaN,0,86.113,-14.071,755.714,NaN,991.169,0.001,339.647,0.015
64.181,NaN,0,86.113,-14.071,755.714,NaN,991.314,0.001,339.652,0.015
64.433,NaN,0,86.113,-14.071,755.714,NaN,991.459,0.001,339.657,0.015
64.684,NaN,0,86.113,-14.071,755.714,NaN,991.605,0.001,339.662,0.015
64.936,NaN,0,86.113,-14.071,755.714,NaN,991.75,0.001,339.667,0.014
65.187,NaN,0,86.113,-14.071,755.714,NaN,991.895,0.001,339.672,0.014
65.438,NaN,0,86.113,-14.071,755.714,NaN,992.04,0.001,339.677,0.014
65.69,NaN,0,86.113,-14.071,755.714,NaN,992.186,0.001,339.681,0.014
65.941,NaN,0,86.113,-14.071,755.714,NaN,992.331,0.001,339.686,0.014
66.193,NaN,0,86.113,-14.071,755.714,NaN,992.476,0.001,339.691,0.014
66.444,NaN,0,86.113,-14.071,755.714,NaN,992.621,0.001,339.696,0.014
66.695,NaN,0,86.113,-14.071,755.714,NaN,992.766,0.001,339.701,0.014
66.947,NaN,0,86.113,-14.071,755.714,NaN,992.911,0.001,339.706,0.014
67.198,NaN,0,86.113,-14.071,755.714,NaN,993.056,0.001,339.711,0.014
67.449,NaN,0,86.113,-14.071,755.714,NaN,993.202,0.001,339.716,0.014
67.701,NaN,0,86.113,-14.071,755.714,NaN,993.347,0.001,339.72,0.014
67.952,NaN,0,86.113,-14.071,755.714,NaN,993.492,0.001,339.725,0.014
68.203,NaN,0,86.113,-14.071,755.714,NaN,993.637,0.001,339.73,0.014
68.455,NaN,0,86.113,-14.071,755.714,NaN,993.782,0.001,339.735,0.014
68.706,NaN,0,86.113,-14.071,755.714,NaN,993.927,0.001,339.74,0.014
68.957,NaN,0,86.113,-14.071,755.714,NaN,994.072,0.001,339.745,0.014
69.208,NaN,0,86.113,-14.071,755.714,NaN,994.217,0.001,339.75,0.014
69.46,NaN,0,86.113,-14.071,755.714,NaN,994.362,0.001,339.755,0.014
69.711,NaN,0,86.113,-14.071,755.714,NaN,994.507,0.001,339.759,0.014
69.962,NaN,0,86.113,-14.071,755.714,NaN,994.651,0.001,339.764,0.014
70.213,NaN,0,86.113,-14.071,755.714,NaN,994.796,0.001,339.769,0.014
70.464,NaN,0,86.113,-14.071,755.714,NaN,994.941,0.001,339.774,0.014
70.715,NaN,0,86.113,-14.071,755.714,NaN,995.086,0.001,339.779,0.014
70.966,NaN,0,86.113,-14.071,755.714,NaN,995.231,0.001,339.784,0.014
71.218,NaN,0,86.113,-14.071,755.714,NaN,995.376,0.001,339.789,0.014
71.469,NaN,0,86.113,-14.071,755.714,NaN,995.521,0.001,339.793,0.014
71.72,NaN,0,86.113,-14.071,755.714,NaN,995.665,0.001,339.798,0.014
71.971,NaN,0,86.113,-14.071,755.714,NaN,995.81,0.001,339.803,0.014
72.222,NaN,0,86.113,-14.071,755.714,NaN,995.955,0.001,339.808,0.014
72.473,NaN,0,86.113,-14.071,755.714,NaN,996.1,0.001,339.813,0.014
72.724,NaN,0,86.113,-14.071,755.714,NaN,996.244,0.001,339.818,0.014
72.975,NaN,0,86.113,-14.071,755.714,NaN,996.389,0.001,339.823,0.014
73.226,NaN,0,86.113,-14.071,755.714,NaN,996.534,0.001,339.827,0.014
73.477,NaN,0,86.113,-14.071,755.714,NaN,996.679,0.001,339.832,0.014
73.728,NaN,0,86.113,-14.071,755.714,NaN,996.823,0.001,339.837,0.014
73.979,NaN,0,86.113,-14.071,755.714,NaN,996.968,0.001,339.842,0.014
74.23,NaN,0,86.113,-14.071,755.714,NaN,997.112,0.001,339.847,0.014
74.481,NaN,0,86.113,-14.071,755.714,NaN,997.257,0.001,339.852,0.014
74.731,NaN,0,86.113,-14.071,755.714,NaN,997.402,0.001,339.857,0.014
74.982,NaN,0,86.113,-14.071,755.714,NaN,997.546,0.001,339.861,0.014
75.233,NaN,0,86.113,-14.071,755.714,NaN,997.691,0.001,339.866,0.014
75.484,NaN,0,86.113,-14.071,755.714,NaN,997.835,0.001,339.871,0.014
75.735,NaN,0,86.113,-14.071,755.714,NaN,997.98,0.001,339.876,0.014
75.986,NaN,0,86.113,-14.071,755.714,NaN,998.124,0.001,339.881,0.014
76.237,NaN,0,86.113,-14.071,755.714,NaN,998.269,0.001,339.886,0.014
76.487,NaN,0,86.113,-14.071,755.714,NaN,998.413,0.001,339.891,0.014
76.738,NaN,0,86.113,-14.071,755.714,NaN,998.558,0.001,339.895,0.014
76.989,NaN,0,86.113,-14.071,755.714,NaN,998.702,0.001,339.9,0.014
77.24,NaN,0,86.113,-14.071,755.714,NaN,998.847,0.001,339.905,0.014
77.49,NaN,0,86.113,-14.071,755.714,NaN,998.991,0.001,339.91,0.014
77.741,NaN,0,86.113,-14.071,755.714,NaN,999.136,0.001,339.915,0.014
77.992,NaN,0,86.113,-14.071,755.714,NaN,999.28,0.001,339.92,0.014
78.242,NaN,0,86.113,-14.071,755.714,NaN,999.424,0.001,339.925,0.014
78.493,NaN,0,86.113,-14.071,755.714,NaN,999.569,0.001,339.929,0.014
78.744,NaN,0,86.113,-14.071,755.714,NaN,999.713,0.001,339.934,0.014
78.994,NaN,0,86.113,-14.071,755.714,NaN,999.857,0.001,339.939,0.014
79.245,NaN,0,86.113,-14.071,755.714,NaN,1000.002,0.001,339.944,0.014
79.496,NaN,0,86.113,-14.071,755.714,NaN,1000.146,0.001,339.949,0.014
79.746,NaN,0,86.113,-14.071,755.714,NaN,1000.29,0.001,339.954,0.014
79.997,NaN,0,86.113,-14.071,755.714,NaN,1000.434,0.001,339.958,0.014
80.248,NaN,0,86.113,-14.071,755.714,NaN,1000.579,0.001,339.963,0.014
80.498,NaN,0,86.113,-14.071,755.714,NaN,1000.723,0.001,339.968,0.014
80.749,NaN,0,86.113,-14.071,755.714,NaN,1000.867,0.001,339.973,0.014
80.999,NaN,0,86.113,-14.071,755.714,NaN,1001.011,0.001,339.978,0.014
81.25,NaN,0,86.113,-14.071,755.714,NaN,1001.155,0.001,339.983,0.014
81.5,NaN,0,86.113,-14.071,755.714,NaN,1001.299,0.001,339.988,0.014
81.751,NaN,0,86.113,-14.071,755.714,NaN,1001.444,0.001,339.992,0.014
82.001,NaN,0,86.113,-14.071,755.714,NaN,1001.588,0.001,339.997,0.014
82.252,NaN,0,86.113,-14.071,755.714,NaN,1001.732,0.001,340.002,0.014
82.502,NaN,0,86.113,-14.071,755.714,NaN,1001.876,0.001,340.007,0.014
82.752,NaN,0,86.113,-14.071,755.714,NaN,1002.02,0.001,340.012,0.014
83.003,NaN,0,86.113,-14.071,755.714,NaN,1002.164,0.001,340.017,0.014
83.253,NaN,0,86.113,-14.071,755.714,NaN,1002.308,0.001,340.021,0.014
83.504,NaN,0,86.113,-14.071,755.714,NaN,1002.452,0.001,340.026,0.014
83.754,NaN,0,86.113,-14.071,755.714,NaN,1002.596,0.001,340.031,0.014
84.004,NaN,0,86.113,-14.071,755.714,NaN,1002.74,0.001,340.036,0.014
84.255,NaN,0,86.113,-14.071,755.714,NaN,1002.884,0.001,340.041,0.014
84.505,NaN,0,86.113,-14.071,755.714,NaN,1003.028,0.001,340.046,0.014
84.755,NaN,0,86.113,-14.071,755.714,NaN,1003.172,0.001,340.05,0.014
85.006,NaN,0,86.113,-14.071,755.714,NaN,1003.316,0.001,340.055,0.014
85.256,NaN,0,86.113,-14.071,755.714,NaN,1003.46,0.001,340.06,0.014
85.506,NaN,0,86.113,-14.071,755.714,NaN,1003.603,0.001,340.065,0.014
85.756,NaN,0,86.113,-14.071,755.714,NaN,1003.747,0.001,340.07,0.014
86.007,NaN,0,86.113,-14.071,755.714,NaN,1003.891,0.001,340.075,0.014
86.257,NaN,0,86.113,-14.071,755.714,NaN,1004.035,0.001,340.079,0.014
86.507,NaN,0,86.113,-14.071,755.714,NaN,1004.179,0.001,340.084,0.014
86.757,NaN,0,86.113,-14.071,755.714,NaN,1004.323,0.001,340.089,0.014
87.007,NaN,0,86.113,-14.071,755.714,NaN,1004.466,0.001,340.094,0.014
87.258,NaN,0,86.113,-14.071,755.714,NaN,1004.61,0.001,340.099,0.014
87.508,NaN,0,86.113,-14.071,755.714,NaN,1004.754,0.001,340.104,0.014
87.758,NaN,0,86.113,-14.071,755.714,NaN,1004.898,0.001,340.108,0.014
88.008,NaN,0,86.113,-14.071,755.714,NaN,1005.041,0.001,340.113,0.014
88.258,NaN,0,86.113,-14.071,755.714,NaN,1005.185,0.001,340.118,0.014
88.508,NaN,0,86.113,-14.071,755.714,NaN,1005.329,0.001,340.123,0.014
88.758,NaN,0,86.113,-14.071,755.714,NaN,1005.472,0.001,340.128,0.014
89.008,NaN,0,86.113,-14.071,755.714,NaN,1005.616,0.001,340.133,0.014
89.258,NaN,0,86.113,-14.071,755.714,NaN,1005.76,0.001,340.137,0.014
89.509,NaN,0,86.113,-14.071,755.714,NaN,1005.903,0.001,340.142,0.014
89.759,NaN,0,86.113,-14.071,755.714,NaN,1006.047,0.001,340.147,0.014
90.009,NaN,0,86.113,-14.071,755.714,NaN,1006.19,0.001,340.152,0.014
90.259,NaN,0,86.113,-14.071,755.714,NaN,1006.334,0.001,340.157,0.014
90.509,NaN,0,86.113,-14.071,755.714,NaN,1006.477,0.001,340.161,0.014
90.758,NaN,0,86.113,-14.071,755.714,NaN,1006.621,0.001,340.166,0.014
91.008,NaN,0,86.113,-14.071,755.714,NaN,1006.764,0.001,340.171,0.014
91.258,NaN,0,86.113,-14.071,755.714,NaN,1006.908,0.001,340.176,0.014
91.508,NaN,0,86.113,-14.071,755.714,NaN,1007.051,0.001,340.181,0.014
91.758,NaN,0,86.113,-14.071,755.714,NaN,1007.195,0.001,340.186,0.014
92.008,NaN,0,86.113,-14.071,755.714,NaN,1007.338,0.001,340.19,0.014
92.258,NaN,0,86.113,-14.071,755.714,NaN,1007.482,0.001,340.195,0.014
92.508,NaN,0,86.113,-14.071,755.714,NaN,1007.625,0.001,340.2,0.014
92.758,NaN,0,86.113,-14.071,755.714,NaN,1007.769,0.001,340.205,0.014
93.007,NaN,0,86.113,-14.071,755.714,NaN,1007.912,0.001,340.21,0.014
93.257,NaN,0,86.113,-14.071,755.714,NaN,1008.055,0.001,340.214,0.014
93.507,NaN,0,86.113,-14.071,755.714,NaN,1008.199,0.001,340.219,0.014
93.757,NaN,0,86.113,-14.071,755.714,NaN,1008.342,0.001,340.224,0.014
94.007,NaN,0,86.113,-14.071,755.714,NaN,1008.485,0.001,340.229,0.014
94.256,NaN,0,86.113,-14.071,755.714,NaN,1008.629,0.001,340.234,0.014
94.506,NaN,0,86.113,-14.071,755.714,NaN,1008.772,0.001,340.238,0.014
94.756,NaN,0,86.113,-14.071,755.714,NaN,1008.915,0.001,340.243,0.014
95.006,NaN,0,86.113,-14.071,755.714,NaN,1009.058,0.001,340.248,0.014
95.255,NaN,0,86.113,-14.071,755.714,NaN,1009.202,0.001,340.253,0.014
95.505,NaN,0,86.113,-14.071,755.714,NaN,1009.345,0.001,340.258,0.014
95.755,NaN,0,86.113,-14.071,755.714,NaN,1009.488,0.001,340.263,0.014
96.004,NaN,0,86.113,-14.071,755.714,NaN,1009.631,0.001,340.267,0.014
96.254,NaN,0,86.113,-14.071,755.714,NaN,1009.774,0.001,340.272,0.014
96.504,NaN,0,86.113,-14.071,755.714,NaN,1009.917,0.001,340.277,0.014
96.753,NaN,0,86.113,-14.071,755.714,NaN,1010.061,0.001,340.282,0.014
97.003,NaN,0,86.113,-14.071,755.714,NaN,1010.204,0.001,340.287,0.014
97.252,NaN,0,86.113,-14.071,755.714,NaN,1010.347,0.001,340.291,0.014
97.502,NaN,0,86.113,-14.071,755.714,NaN,1010.49,0.001,340.296,0.014
97.752,NaN,0,86.113,-14.071,755.714,NaN,1010.633,0.001,340.301,0.014
98.001,NaN,0,86.113,-14.071,755.714,NaN,1010.776,0.001,340.306,0.014
98.251,NaN,0,86.113,-14.071,755.714,NaN,1010.919,0.001,340.311,0.014
98.5,NaN,0,86.113,-14.071,755.714,NaN,1011.062,0.001,340.315,0.014
98.75,NaN,0,86.113,-14.071,755.714,NaN,1011.205,0.001,340.32,0.014
98.999,NaN,0,86.113,-14.071,755.714,NaN,1011.348,0.001,340.325,0.014
99.249,NaN,0,86.113,-14.071,755.714,NaN,1011.491,0.001,340.33,0.014
99.498,NaN,0,86.113,-14.071,755.714,NaN,1011.634,0.001,340.335,0.014
99.748,NaN,0,86.113,-14.071,755.714,NaN,1011.777,0.001,340.339,0.014
99.997,NaN,0,86.113,-14.071,755.714,NaN,1011.92,0.001,340.344,0.014
100.246,NaN,0,86.113,-14.071,755.714,NaN,1012.063,0.001,340.349,0.014
100.496,NaN,0,86.113,-14.071,755.714,NaN,1012.206,0.001,340.354,0.014
100.745,NaN,0,86.113,-14.071,755.714,NaN,1012.348,0.001,340.359,0.014
100.995,NaN,0,86.113,-14.071,755.714,NaN,1012.491,0.001,340.363,0.014
101.244,NaN,0,86.113,-14.071,755.714,NaN,1012.634,0.001,340.368,0.014
101.493,NaN,0,86.113,-14.071,755.714,NaN,1012.777,0.001,340.373,0.014
101.743,NaN,0,86.113,-14.071,755.714,NaN,1012.92,0.001,340.378,0.014
101.992,NaN,0,86.113,-14.071,755.714,NaN,1013.063,0.001,340.383,0.014
# Event GROUND_HIT occurred at t=102.319 seconds
# Event SIMULATION_END occurred at t=102.319 seconds
102.319,NaN,0,86.113,-14.071,755.714,NaN,1013.25,0.001,340.389,0.014
